PREGUNTA=1 | SI=83.54 | NO=16.46 | BLANCO=0
PREGUNTA=1 | SI=83.54 | NO=0 | BLANCO=16.46
PREGUNTA=1 | SI=83.54 | NO=0 | BLANCO=16.46
PREGUNTA=1 | SI=83.54 | NO=16.46 | BLANCO=0
PREGUNTA=1 | SI=83.54 | NO=0 | BLANCO=16.46
PREGUNTA=1 | SI=100 | NO=0 | BLANCO=0
PREGUNTA=2 | SI=34.41 | NO=65.59 | BLANCO=0
PREGUNTA=3 | SI=34.41 | NO=0 | BLANCO=65.59
PREGUNTA=4 | SI=94.59 | NO=5.41 | BLANCO=0
PREGUNTA=1 | SI=77.59 | NO=22.41 | BLANCO=0
PREGUNTA=1 | SI=34.41 | NO=65.59 | BLANCO=0
PREGUNTA=1 | SI=34.41 | NO=65.59 | BLANCO=0
PREGUNTA=1 | SI=34.41 | NO=65.59 | BLANCO=0
PREGUNTA=1 | SI=34.41 | NO=65.59 | BLANCO=0
PREGUNTA=1 | SI=33.72 | NO=64.27 | BLANCO=2.01
PREGUNTA=3 | SI=83.56 | NO=0 | BLANCO=16.44
PREGUNTA=2 | SI=34.48 | NO=65.52 | BLANCO=0
PREGUNTA=4 | SI=94.6 | NO=0 | BLANCO=5.4
PREGUNTA=4 | SI=100 | NO=0 | BLANCO=0
PREGUNTA=1 | SI=9.25 | NO=74.73 | BLANCO=16.02
PREGUNTA=1 | SI=9.15 | NO=74.83 | BLANCO=16.02
PREGUNTA=1 | SI=9.15 | NO=74.83 | BLANCO=16.02
PREGUNTA=1 | SI=8.94 | NO=75.04 | BLANCO=16.02
PREGUNTA=4 | SI=99.9 | NO=0.1 | BLANCO=0
PREGUNTA=1 | SI=37.32 | NO=62.68 | BLANCO=0
PREGUNTA=1 | SI=94.33 | NO=5.67 | BLANCO=0
PREGUNTA=3_2 | SI=100 | NO=0 | BLANCO=0
PREGUNTA=3 | SI=100 | NO=0 | BLANCO=0
PREGUNTA=5 | SI=100 | NO=0 | BLANCO=0
PREGUNTA=3_2 | SI=100 | NO=0 | BLANCO=0
PREGUNTA=5 | SI=100 | NO=0 | BLANCO=0
PREGUNTA=4 | SI=99.9 | NO=0.1 | BLANCO=0
PREGUNTA=5 | SI=100 | NO=0 | BLANCO=0
PREGUNTA=4 | SI=37.64 | NO=62.36 | BLANCO=0
PREGUNTA=5 | SI=37.74 | NO=0 | BLANCO=62.26
PREGUNTA=6 | SI=37.74 | NO=62.26 | BLANCO=0
PREGUNTA=4 | SI=37.68 | NO=62.32 | BLANCO=0
PREGUNTA=3 | SI=37.68 | NO=0 | BLANCO=62.32
PREGUNTA=6 | SI=30.08 | NO=62.32 | BLANCO=7.6
PREGUNTA=6 | SI=30.08 | NO=62.32 | BLANCO=7.6
PREGUNTA=1 | SI=32.26 | NO=5.67 | BLANCO=62.07
PREGUNTA=1 | SI=-29.81 | NO=67.74 | BLANCO=62.07
PREGUNTA=1 | SI=100 | NO=0 | BLANCO=0
PREGUNTA=5 | SI=100 | NO=0 | BLANCO=0
PREGUNTA=1 | SI=81.43 | NO=18.57 | BLANCO=0
PREGUNTA=2 | SI=92.56 | NO=7.44 | BLANCO=0
PREGUNTA=2 | SI=92.56 | NO=7.44 | BLANCO=0
PREGUNTA=3 | SI=7.44 | NO=18.57 | BLANCO=73.99
PREGUNTA=5 | SI=92.56 | NO=7.44 | BLANCO=0
PREGUNTA=6 | SI=92.56 | NO=0 | BLANCO=7.44
PREGUNTA=1 | SI=18.67 | NO=81.33 | BLANCO=0
PREGUNTA=1 | SI=21.54 | NO=78.14 | BLANCO=0.32
PREGUNTA=1 | SI=21.54 | NO=0 | BLANCO=78.46
